,Question,Context,Value,prompt
83,the value of Employee turnover in Absa document in 2022?,"AREAS

## DATA AND ASSURANCE

## ANNEXURES

|PERFORMANCE DATA| | | | | |
|---|---|---|---|---|---|
|Human Capital – Our people|2023|2022|2021|2020|LoA 2023|Footnote|
|Employee numbers (Group)|29 073|28 630|28 949|31 001| |1 CORPORATE CENTRE|
|Permanent employees|28 657|28 279|28 725| | | |
|Non-permanent employees|416|351|224| | |  
   We continue to strive for a total Group employee turnover of below 7.5% per annum. GRI 401-1

### Workforce stability at Impala Canada

Last year we reported that the employee turnover rate at Impala Canada (2022: 20.3%) was significantly higher than Group target of 7.5%.

The North American labor market has seen increasing competition for workers and shifting attitudes towards work-life balance post-Covid.  
   – 9 years|=|2|2|1|1|
|Tenure at Absa| | | | | |
|0 – 10 years||4|2|4|6|
|11 – 20 years||7|6|3|4|
|> 21 years||3|2|2|1|
---
|Indicator|Trend|2022|2021|2020|2019|
|---|---|---|---|---|---|
|Employees completing the Absa Way Code of Ethics training (%)|",9.2,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Employee turnover in Absa document in 2022?[/INST] [INST]Context: AREAS

## DATA AND ASSURANCE

## ANNEXURES

|PERFORMANCE DATA| | | | | |
|---|---|---|---|---|---|
|Human Capital – Our people|2023|2022|2021|2020|LoA 2023|Footnote|
|Employee numbers (Group)|29 073|28 630|28 949|31 001| |1 CORPORATE CENTRE|
|Permanent employees|28 657|28 279|28 725| | | |
|Non-permanent employees|416|351|224| | |  
   We continue to strive for a total Group employee turnover of below 7.5% per annum. GRI 401-1

### Workforce stability at Impala Canada

Last year we reported that the employee turnover rate at Impala Canada (2022: 20.3%) was significantly higher than Group target of 7.5%.

The North American labor market has seen increasing competition for workers and shifting attitudes towards work-life balance post-Covid.  
   – 9 years|=|2|2|1|1|
|Tenure at Absa| | | | | |
|0 – 10 years||4|2|4|6|
|11 – 20 years||7|6|3|4|
|> 21 years||3|2|2|1|
---
|Indicator|Trend|2022|2021|2020|2019|
|---|---|---|---|---|---|
|Employees completing the Absa Way Code of Ethics training (%)|[/INST]
[INST]The result value for the metric in 2022 is: 9.2[/INST]
"
84,the value of Recycled waste (tonnes) in Absa document in 2019?,"buildings| |17|6|5|5|5|Targeting 33% increase by 2030|

## Social

|Indicator|Trend|2022|2021|2020|2019|2018|Notes|
|---|---|---|---|---|---|---|---|
|Waste per type (tonnes):| | | | | | | |
|Paper| |336|378.5|860.8|-|-| |
|Electronic waste| |1|1.5|0.  
   g. per PHW)?|Yes|Yes|Yes| | | |No| |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE|COMMENTS|
|---|---|---|---|---|---|---|---|---|
|Waste| | | | | | | | |
|Total Volume of Non-Hazardous Waste Disposed (tonnes) – excluding Food Waste – to Landfill*| |12 757.  
   2018 waste was measured in m3|
|Recycled waste (tonnes)| |424|459|1 126|1 645|7 127| |
|of which: paper recycled (tonnes)| |336|379|46|1 146|-| |
|of which: biodegradable packaging| |12|81|4|191|-| |
|Waste to landfill (tonnes)| |193|250|777|1 415|6 112| |

##",1645.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Recycled waste (tonnes) in Absa document in 2019?[/INST] [INST]Context: buildings| |17|6|5|5|5|Targeting 33% increase by 2030|

## Social

|Indicator|Trend|2022|2021|2020|2019|2018|Notes|
|---|---|---|---|---|---|---|---|
|Waste per type (tonnes):| | | | | | | |
|Paper| |336|378.5|860.8|-|-| |
|Electronic waste| |1|1.5|0.  
   g. per PHW)?|Yes|Yes|Yes| | | |No| |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE|COMMENTS|
|---|---|---|---|---|---|---|---|---|
|Waste| | | | | | | | |
|Total Volume of Non-Hazardous Waste Disposed (tonnes) – excluding Food Waste – to Landfill*| |12 757.  
   2018 waste was measured in m3|
|Recycled waste (tonnes)| |424|459|1 126|1 645|7 127| |
|of which: paper recycled (tonnes)| |336|379|46|1 146|-| |
|of which: biodegradable packaging| |12|81|4|191|-| |
|Waste to landfill (tonnes)| |193|250|777|1 415|6 112| |

##[/INST]
[INST]The result value for the metric in 2022 is: 1645.0[/INST]
"
85,the value of Recycled waste (tonnes) in Absa document in 2020?,"buildings| |17|6|5|5|5|Targeting 33% increase by 2030|

## Social

|Indicator|Trend|2022|2021|2020|2019|2018|Notes|
|---|---|---|---|---|---|---|---|
|Waste per type (tonnes):| | | | | | | |
|Paper| |336|378.5|860.8|-|-| |
|Electronic waste| |1|1.5|0.  
   g. per PHW)?|Yes|Yes|Yes| | | |No| |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE|COMMENTS|
|---|---|---|---|---|---|---|---|---|
|Waste| | | | | | | | |
|Total Volume of Non-Hazardous Waste Disposed (tonnes) – excluding Food Waste – to Landfill*| |12 757.  
   5|0.4|-|-| |
|General waste (landfill)| |193|249.5|777.4|-|-| |
|Food waste| |5|1.3|70.2|-|-| |
|Coffee cups| |12|9.5|96.9|-|-| |
|Other recyclables| |72|68.5|97.3|-|-| |
|Recycling rate| | | | | | | |
|Total waste (tonnes)| |617|709|1 903|3 063|13 334|In 2018 waste was measured",1126.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Recycled waste (tonnes) in Absa document in 2020?[/INST] [INST]Context: buildings| |17|6|5|5|5|Targeting 33% increase by 2030|

## Social

|Indicator|Trend|2022|2021|2020|2019|2018|Notes|
|---|---|---|---|---|---|---|---|
|Waste per type (tonnes):| | | | | | | |
|Paper| |336|378.5|860.8|-|-| |
|Electronic waste| |1|1.5|0.  
   g. per PHW)?|Yes|Yes|Yes| | | |No| |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE|COMMENTS|
|---|---|---|---|---|---|---|---|---|
|Waste| | | | | | | | |
|Total Volume of Non-Hazardous Waste Disposed (tonnes) – excluding Food Waste – to Landfill*| |12 757.  
   5|0.4|-|-| |
|General waste (landfill)| |193|249.5|777.4|-|-| |
|Food waste| |5|1.3|70.2|-|-| |
|Coffee cups| |12|9.5|96.9|-|-| |
|Other recyclables| |72|68.5|97.3|-|-| |
|Recycling rate| | | | | | | |
|Total waste (tonnes)| |617|709|1 903|3 063|13 334|In 2018 waste was measured[/INST]
[INST]The result value for the metric in 2022 is: 1126.0[/INST]
"
86,the value of Recycled waste (tonnes) in Absa document in 2021?,"buildings| |17|6|5|5|5|Targeting 33% increase by 2030|

## Social

|Indicator|Trend|2022|2021|2020|2019|2018|Notes|
|---|---|---|---|---|---|---|---|
|Waste per type (tonnes):| | | | | | | |
|Paper| |336|378.5|860.8|-|-| |
|Electronic waste| |1|1.5|0.  
   g. per PHW)?|Yes|Yes|Yes| | | |No| |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE|COMMENTS|
|---|---|---|---|---|---|---|---|---|
|Waste| | | | | | | | |
|Total Volume of Non-Hazardous Waste Disposed (tonnes) – excluding Food Waste – to Landfill*| |12 757.  
   5|0.4|-|-| |
|General waste (landfill)| |193|249.5|777.4|-|-| |
|Food waste| |5|1.3|70.2|-|-| |
|Coffee cups| |12|9.5|96.9|-|-| |
|Other recyclables| |72|68.5|97.3|-|-| |
|Recycling rate| | | | | | | |
|Total waste (tonnes)| |617|709|1 903|3 063|13 334|In 2018 waste was measured",459.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Recycled waste (tonnes) in Absa document in 2021?[/INST] [INST]Context: buildings| |17|6|5|5|5|Targeting 33% increase by 2030|

## Social

|Indicator|Trend|2022|2021|2020|2019|2018|Notes|
|---|---|---|---|---|---|---|---|
|Waste per type (tonnes):| | | | | | | |
|Paper| |336|378.5|860.8|-|-| |
|Electronic waste| |1|1.5|0.  
   g. per PHW)?|Yes|Yes|Yes| | | |No| |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE|COMMENTS|
|---|---|---|---|---|---|---|---|---|
|Waste| | | | | | | | |
|Total Volume of Non-Hazardous Waste Disposed (tonnes) – excluding Food Waste – to Landfill*| |12 757.  
   5|0.4|-|-| |
|General waste (landfill)| |193|249.5|777.4|-|-| |
|Food waste| |5|1.3|70.2|-|-| |
|Coffee cups| |12|9.5|96.9|-|-| |
|Other recyclables| |72|68.5|97.3|-|-| |
|Recycling rate| | | | | | | |
|Total waste (tonnes)| |617|709|1 903|3 063|13 334|In 2018 waste was measured[/INST]
[INST]The result value for the metric in 2022 is: 459.0[/INST]
"
87,the value of Recycled waste (tonnes) in Absa document in 2022?,"buildings| |17|6|5|5|5|Targeting 33% increase by 2030|

## Social

|Indicator|Trend|2022|2021|2020|2019|2018|Notes|
|---|---|---|---|---|---|---|---|
|Waste per type (tonnes):| | | | | | | |
|Paper| |336|378.5|860.8|-|-| |
|Electronic waste| |1|1.5|0.  
   g. per PHW)?|Yes|Yes|Yes| | | |No| |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE|COMMENTS|
|---|---|---|---|---|---|---|---|---|
|Waste| | | | | | | | |
|Total Volume of Non-Hazardous Waste Disposed (tonnes) – excluding Food Waste – to Landfill*| |12 757.  
   5|0.4|-|-| |
|General waste (landfill)| |193|249.5|777.4|-|-| |
|Food waste| |5|1.3|70.2|-|-| |
|Coffee cups| |12|9.5|96.9|-|-| |
|Other recyclables| |72|68.5|97.3|-|-| |
|Recycling rate| | | | | | | |
|Total waste (tonnes)| |617|709|1 903|3 063|13 334|In 2018 waste was measured",424.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Recycled waste (tonnes) in Absa document in 2022?[/INST] [INST]Context: buildings| |17|6|5|5|5|Targeting 33% increase by 2030|

## Social

|Indicator|Trend|2022|2021|2020|2019|2018|Notes|
|---|---|---|---|---|---|---|---|
|Waste per type (tonnes):| | | | | | | |
|Paper| |336|378.5|860.8|-|-| |
|Electronic waste| |1|1.5|0.  
   g. per PHW)?|Yes|Yes|Yes| | | |No| |
---
## ESG/Sustainability Databook

| |FY23|FY22|FY21|FY20|GRI STANDARDS|SASB STANDARDS|JSE|COMMENTS|
|---|---|---|---|---|---|---|---|---|
|Waste| | | | | | | | |
|Total Volume of Non-Hazardous Waste Disposed (tonnes) – excluding Food Waste – to Landfill*| |12 757.  
   5|0.4|-|-| |
|General waste (landfill)| |193|249.5|777.4|-|-| |
|Food waste| |5|1.3|70.2|-|-| |
|Coffee cups| |12|9.5|96.9|-|-| |
|Other recyclables| |72|68.5|97.3|-|-| |
|Recycling rate| | | | | | | |
|Total waste (tonnes)| |617|709|1 903|3 063|13 334|In 2018 waste was measured[/INST]
[INST]The result value for the metric in 2022 is: 424.0[/INST]
"
88,the value of Number of board members in Absa document in 2019?,"non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   composition|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: non-executive (%)|%|80|73|67|

|Board independence|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: independence (%)|%|80|73|67|
| |BBBEE Rating|Number|4|4|5|
---
NO_CONTENT_HERE  
   | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.",16.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Number of board members in Absa document in 2019?[/INST] [INST]Context: non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   composition|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: non-executive (%)|%|80|73|67|

|Board independence|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: independence (%)|%|80|73|67|
| |BBBEE Rating|Number|4|4|5|
---
NO_CONTENT_HERE  
   | | | | | | |
|Number of Board Members| |14|14|15|13|2-9| |
|Number of Board Members who are deemed Non-Executive| |12|10|10|7|2-9| |
|Percentage of Board Members who are deemed Non-Executive| |85.7%|71.4%|66.7%|53.[/INST]
[INST]The result value for the metric in 2022 is: 16.0[/INST]
"
89,the value of Number of board members in Absa document in 2020?,"composition|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: non-executive (%)|%|80|73|67|

|Board independence|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: independence (%)|%|80|73|67|
| |BBBEE Rating|Number|4|4|5|
---
NO_CONTENT_HERE  
   non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   | | | |

Distell ESG Appendix 2022

02
---
## OUR ESG PERFORMANCE DATA CONTINUED

|GOVERNANCE|2022|2021|2020|
|---|---|---|---|
|Number of board members|12|12|12|
|Number of board members who are deemed non-executive|10|10|10|
|Percentage of board members who are deemed non-executive|83,3%|83,3%|83,",16.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Number of board members in Absa document in 2020?[/INST] [INST]Context: composition|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: non-executive (%)|%|80|73|67|

|Board independence|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: independence (%)|%|80|73|67|
| |BBBEE Rating|Number|4|4|5|
---
NO_CONTENT_HERE  
   non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   | | | |

Distell ESG Appendix 2022

02
---
## OUR ESG PERFORMANCE DATA CONTINUED

|GOVERNANCE|2022|2021|2020|
|---|---|---|---|
|Number of board members|12|12|12|
|Number of board members who are deemed non-executive|10|10|10|
|Percentage of board members who are deemed non-executive|83,3%|83,3%|83,[/INST]
[INST]The result value for the metric in 2022 is: 16.0[/INST]
"
90,the value of Number of board members in Absa document in 2021?,"composition|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: non-executive (%)|%|80|73|67|

|Board independence|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: independence (%)|%|80|73|67|
| |BBBEE Rating|Number|4|4|5|
---
NO_CONTENT_HERE  
   non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   | | | |

Distell ESG Appendix 2022

02
---
## OUR ESG PERFORMANCE DATA CONTINUED

|GOVERNANCE|2022|2021|2020|
|---|---|---|---|
|Number of board members|12|12|12|
|Number of board members who are deemed non-executive|10|10|10|
|Percentage of board members who are deemed non-executive|83,3%|83,3%|83,",15.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Number of board members in Absa document in 2021?[/INST] [INST]Context: composition|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: non-executive (%)|%|80|73|67|

|Board independence|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: independence (%)|%|80|73|67|
| |BBBEE Rating|Number|4|4|5|
---
NO_CONTENT_HERE  
   non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   | | | |

Distell ESG Appendix 2022

02
---
## OUR ESG PERFORMANCE DATA CONTINUED

|GOVERNANCE|2022|2021|2020|
|---|---|---|---|
|Number of board members|12|12|12|
|Number of board members who are deemed non-executive|10|10|10|
|Percentage of board members who are deemed non-executive|83,3%|83,3%|83,[/INST]
[INST]The result value for the metric in 2022 is: 15.0[/INST]
"
91,the value of Number of board members in Absa document in 2022?,"composition|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: non-executive (%)|%|80|73|67|

|Board independence|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: independence (%)|%|80|73|67|
| |BBBEE Rating|Number|4|4|5|
---
NO_CONTENT_HERE  
   non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   | | | |

Distell ESG Appendix 2022

02
---
## OUR ESG PERFORMANCE DATA CONTINUED

|GOVERNANCE|2022|2021|2020|
|---|---|---|---|
|Number of board members|12|12|12|
|Number of board members who are deemed non-executive|10|10|10|
|Percentage of board members who are deemed non-executive|83,3%|83,3%|83,",14.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Number of board members in Absa document in 2022?[/INST] [INST]Context: composition|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: non-executive (%)|%|80|73|67|

|Board independence|Description|Units|2022|2021|2020|
|---|---|---|---|---|---|
| |Composition of the board in relation to: independence (%)|%|80|73|67|
| |BBBEE Rating|Number|4|4|5|
---
NO_CONTENT_HERE  
   non-executive directors||11|12|11|12|
|Non-executive directors|=|1|1|3|1|
|Executive directors|=|2|2|2|3|
|Independent Board Chairman| |Yes|Yes|Yes|Yes|
|Women board members||4|6|5|4|
|AIC board members||5|6|6|7|
|Board meeting attendance (%)|=|98|98|99|95|
|Total number of board and board committee  
   | | | |

Distell ESG Appendix 2022

02
---
## OUR ESG PERFORMANCE DATA CONTINUED

|GOVERNANCE|2022|2021|2020|
|---|---|---|---|
|Number of board members|12|12|12|
|Number of board members who are deemed non-executive|10|10|10|
|Percentage of board members who are deemed non-executive|83,3%|83,3%|83,[/INST]
[INST]The result value for the metric in 2022 is: 14.0[/INST]
"
92,the value of Independent non-executive directors in Absa document in 2019?,"including wages and benefits of full time and variable time employees| |139 553|137 501|144 184|134 211| | |
|9 Total Rand Million Value of Compensation Paid to Executive Directors – Excluding Gains Realised from LTI Awards| |38 555|49 130|79 749|30 070|2-19| |
|10 Total Rand Million Compensation Paid to Executive Directors and Key Management Personnel - excluding 'gains realised from LTI awards'|108.9|143.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##  
   This not only enables our stakeholders to better assess our impact on the world around us, but also ensures that we are better equipped to manage our business, people and operations in a way that contributes to sustainable, long-term value.

|ECONOMIC|2022|2021|2020|
|---|---|---|---|
|Total rand value of compensation paid to executive directors – excluding gains realised from long-term incentive plan (LTIP) awards|R15 320 240|R15 246 000|R13 407 000|
|Average compensation per executive director (rands) – excluding gains on the exercise of",12.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Independent non-executive directors in Absa document in 2019?[/INST] [INST]Context: including wages and benefits of full time and variable time employees| |139 553|137 501|144 184|134 211| | |
|9 Total Rand Million Value of Compensation Paid to Executive Directors – Excluding Gains Realised from LTI Awards| |38 555|49 130|79 749|30 070|2-19| |
|10 Total Rand Million Compensation Paid to Executive Directors and Key Management Personnel - excluding 'gains realised from LTI awards'|108.9|143.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##  
   This not only enables our stakeholders to better assess our impact on the world around us, but also ensures that we are better equipped to manage our business, people and operations in a way that contributes to sustainable, long-term value.

|ECONOMIC|2022|2021|2020|
|---|---|---|---|
|Total rand value of compensation paid to executive directors – excluding gains realised from long-term incentive plan (LTIP) awards|R15 320 240|R15 246 000|R13 407 000|
|Average compensation per executive director (rands) – excluding gains on the exercise of[/INST]
[INST]The result value for the metric in 2022 is: 12.0[/INST]
"
93,the value of Independent non-executive directors in Absa document in 2020?,"This not only enables our stakeholders to better assess our impact on the world around us, but also ensures that we are better equipped to manage our business, people and operations in a way that contributes to sustainable, long-term value.

|ECONOMIC|2022|2021|2020|
|---|---|---|---|
|Total rand value of compensation paid to executive directors – excluding gains realised from long-term incentive plan (LTIP) awards|R15 320 240|R15 246 000|R13 407 000|
|Average compensation per executive director (rands) – excluding gains on the exercise of  
   including wages and benefits of full time and variable time employees| |139 553|137 501|144 184|134 211| | |
|9 Total Rand Million Value of Compensation Paid to Executive Directors – Excluding Gains Realised from LTI Awards| |38 555|49 130|79 749|30 070|2-19| |
|10 Total Rand Million Compensation Paid to Executive Directors and Key Management Personnel - excluding 'gains realised from LTI awards'|108.9|143.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##",11.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Independent non-executive directors in Absa document in 2020?[/INST] [INST]Context: This not only enables our stakeholders to better assess our impact on the world around us, but also ensures that we are better equipped to manage our business, people and operations in a way that contributes to sustainable, long-term value.

|ECONOMIC|2022|2021|2020|
|---|---|---|---|
|Total rand value of compensation paid to executive directors – excluding gains realised from long-term incentive plan (LTIP) awards|R15 320 240|R15 246 000|R13 407 000|
|Average compensation per executive director (rands) – excluding gains on the exercise of  
   including wages and benefits of full time and variable time employees| |139 553|137 501|144 184|134 211| | |
|9 Total Rand Million Value of Compensation Paid to Executive Directors – Excluding Gains Realised from LTI Awards| |38 555|49 130|79 749|30 070|2-19| |
|10 Total Rand Million Compensation Paid to Executive Directors and Key Management Personnel - excluding 'gains realised from LTI awards'|108.9|143.  
   affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##[/INST]
[INST]The result value for the metric in 2022 is: 11.0[/INST]
"
94,the value of Independent non-executive directors in Absa document in 2021?,"affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##  
   including wages and benefits of full time and variable time employees| |139 553|137 501|144 184|134 211| | |
|9 Total Rand Million Value of Compensation Paid to Executive Directors – Excluding Gains Realised from LTI Awards| |38 555|49 130|79 749|30 070|2-19| |
|10 Total Rand Million Compensation Paid to Executive Directors and Key Management Personnel - excluding 'gains realised from LTI awards'|108.9|143.  
   This not only enables our stakeholders to better assess our impact on the world around us, but also ensures that we are better equipped to manage our business, people and operations in a way that contributes to sustainable, long-term value.

|ECONOMIC|2022|2021|2020|
|---|---|---|---|
|Total rand value of compensation paid to executive directors – excluding gains realised from long-term incentive plan (LTIP) awards|R15 320 240|R15 246 000|R13 407 000|
|Average compensation per executive director (rands) – excluding gains on the exercise of",12.0,"[INST] Given the question and context, extract the value of the metric .

Question: the value of Independent non-executive directors in Absa document in 2021?[/INST] [INST]Context: affordable housing, literacy, customer satisfaction and digital|
| |Other external|Citizenship and literacy|
| |Talent development|Employee training|
|Tax| |Tax disclosures – type and per country, paid, collected|
|Governance| |Board, Exco, ethics and remuneration|
|Shareholders| |Top 10 and per geography|

## Absa Group Limited 2022 Environmental, Social and Governance Indicators
---
##  
   including wages and benefits of full time and variable time employees| |139 553|137 501|144 184|134 211| | |
|9 Total Rand Million Value of Compensation Paid to Executive Directors – Excluding Gains Realised from LTI Awards| |38 555|49 130|79 749|30 070|2-19| |
|10 Total Rand Million Compensation Paid to Executive Directors and Key Management Personnel - excluding 'gains realised from LTI awards'|108.9|143.  
   This not only enables our stakeholders to better assess our impact on the world around us, but also ensures that we are better equipped to manage our business, people and operations in a way that contributes to sustainable, long-term value.

|ECONOMIC|2022|2021|2020|
|---|---|---|---|
|Total rand value of compensation paid to executive directors – excluding gains realised from long-term incentive plan (LTIP) awards|R15 320 240|R15 246 000|R13 407 000|
|Average compensation per executive director (rands) – excluding gains on the exercise of[/INST]
[INST]The result value for the metric in 2022 is: 12.0[/INST]
"
